peak_bin_dt,direction,employees,theoretical_buses
2026-04-05 00:00:00,IN,7,1
2026-04-05 04:00:00,IN,2,1
2026-04-05 06:00:00,IN,13,1
2026-04-05 08:00:00,IN,6,1
2026-04-05 09:00:00,IN,97,5
2026-04-05 09:00:00,OUT,5,1
2026-04-05 10:00:00,IN,19,1
2026-04-05 10:00:00,OUT,2,1
2026-04-05 11:00:00,IN,90,5
2026-04-05 12:00:00,IN,8,1
2026-04-05 12:00:00,OUT,2,1
2026-04-05 13:00:00,IN,3,1
2026-04-05 14:00:00,IN,12,1
2026-04-05 15:00:00,OUT,1,1
2026-04-05 16:00:00,IN,26,2
2026-04-05 16:00:00,OUT,29,2
2026-04-05 17:00:00,IN,10,1
2026-04-05 18:00:00,IN,110,5
2026-04-05 18:00:00,OUT,81,4
2026-04-05 19:00:00,IN,12,1
2026-04-05 19:00:00,OUT,10,1
2026-04-05 20:00:00,IN,187,9
2026-04-05 20:00:00,OUT,74,4
2026-04-05 21:00:00,IN,16,1
2026-04-05 21:00:00,OUT,5,1
2026-04-05 22:00:00,IN,1,1
2026-04-05 22:00:00,OUT,1,1
2026-04-05 23:00:00,OUT,27,2
