trip_id,trip_type,direction,service_date,cluster_id,requested_wave_dt,requested_wave_label,earliest_start_dt,latest_start_dt,planned_start_dt,planned_end_dt,trip_duration_min,route_distance_km,stop_count,peak_load,assigned_passengers,occupancy_pct,store_sequence,store_passenger_plan,stop_data_json
NEW_0001,OUT,OUT,2026-04-12,0,2026-04-12 00:00:00,2026-04-12 00:00,2026-04-12 00:00:00,2026-04-12 00:40:00,2026-04-12 00:00:00,2026-04-12 02:47:37.980580,167.63,87.168,6,14,14,63.64,KFC - Abo Helifa -> BR - Al Mangaf -> KFC - Al Bairak Mall -> BR - Al Bairak Mall -> Hardees - Al Qureen -> KFC - Om El Himan,KFC - Abo Helifa (1) | BR - Al Mangaf (1) | KFC - Al Bairak Mall (4) | BR - Al Bairak Mall (2) | Hardees - Al Qureen (1) | KFC - Om El Himan (5),"[{""store_id"": 11127760, ""store_name"": ""KFC - Abo Helifa"", ""latitude"": 29.1339, ""longitude"": 48.1324, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 00:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11228450, ""store_name"": ""BR - Al Mangaf"", ""latitude"": 29.10443, ""longitude"": 48.12539262, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 00:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11127230, ""store_name"": ""KFC - Al Bairak Mall"", ""latitude"": 29.1734, ""longitude"": 48.099, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 00:00:00"", ""allocated_passengers"": 4}, {""store_id"": 11227230, ""store_name"": ""BR - Al Bairak Mall"", ""latitude"": 29.1735, ""longitude"": 48.09851, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 00:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11147850, ""store_name"": ""Hardees - Al Qureen"", ""latitude"": 29.236563, ""longitude"": 48.064671, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 00:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11127470, ""store_name"": ""KFC - Om El Himan"", ""latitude"": 28.962943, ""longitude"": 48.161436, ""cluster_id"": 5, ""wave_dt"": ""2026-04-12 00:00:00"", ""allocated_passengers"": 5}]"
NEW_0002,OUT,OUT,2026-04-12,3,2026-04-12 01:00:00,2026-04-12 01:00,2026-04-12 01:00:00,2026-04-12 01:40:00,2026-04-12 01:30:00,2026-04-12 03:00:24.949897,90.42,38.263,6,15,15,68.18,KFC - Augiela 2 -> Hardees - Al Qureen 2 -> KFC - Qureen -> TGIF - The Lake Mall -> KFC - Village -> Hardees - Sabah Al Salem Block,KFC - Augiela 2 (1) | Hardees - Al Qureen 2 (2) | KFC - Qureen (1) | TGIF - The Lake Mall (9) | KFC - Village (1) | Hardees - Sabah Al Salem Block (1),"[{""store_id"": 11128270, ""store_name"": ""KFC - Augiela 2"", ""latitude"": 29.172702, ""longitude"": 48.095099, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11147870, ""store_name"": ""Hardees - Al Qureen 2"", ""latitude"": 29.204344, ""longitude"": 48.077731, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11127850, ""store_name"": ""KFC - Qureen"", ""latitude"": 29.2155, ""longitude"": 48.0742, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11187030, ""store_name"": ""TGIF - The Lake Mall"", ""latitude"": 29.216, ""longitude"": 48.1032, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 9}, {""store_id"": 11128200, ""store_name"": ""KFC - Village"", ""latitude"": 29.212059, ""longitude"": 48.10428, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11148490, ""store_name"": ""Hardees - Sabah Al Salem Block"", ""latitude"": 29.26592249, ""longitude"": 48.07889889, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 1}]"
NEW_0003,OUT,OUT,2026-04-12,0,2026-04-12 01:00:00,2026-04-12 01:00,2026-04-12 01:00:00,2026-04-12 01:40:00,2026-04-12 01:30:00,2026-04-12 03:26:02.200354,116.04,54.49,6,20,20,90.91,TGIF - Abu Halifa -> KFC - Fahd Al Ahmad -> KFC - Mangaf 2 -> TGIF - Al Kout Mall -> KFC - Al Kout Mall -> Hardees - Sabah Al Salem,TGIF - Abu Halifa (2) | KFC - Fahd Al Ahmad (2) | KFC - Mangaf 2 (1) | TGIF - Al Kout Mall (6) | KFC - Al Kout Mall (3) | Hardees - Sabah Al Salem (6),"[{""store_id"": 11187760, ""store_name"": ""TGIF - Abu Halifa"", ""latitude"": 29.154, ""longitude"": 48.1249, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11127930, ""store_name"": ""KFC - Fahd Al Ahmad"", ""latitude"": 29.134423, ""longitude"": 48.107656, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11128400, ""store_name"": ""KFC - Mangaf 2"", ""latitude"": 29.10458661, ""longitude"": 48.12479592, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11188220, ""store_name"": ""TGIF - Al Kout Mall"", ""latitude"": 29.0791, ""longitude"": 48.1396, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 6}, {""store_id"": 11128220, ""store_name"": ""KFC - Al Kout Mall"", ""latitude"": 29.078084, ""longitude"": 48.139116, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 3}, {""store_id"": 11147830, ""store_name"": ""Hardees - Sabah Al Salem"", ""latitude"": 29.256562, ""longitude"": 48.052294, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 6}]"
NEW_0004,OUT,OUT,2026-04-12,5,2026-04-12 01:00:00,2026-04-12 01:00,2026-04-12 01:00:00,2026-04-12 02:40:00,2026-04-12 02:30:00,2026-04-12 06:14:37.487689,224.62,135.929,2,7,7,31.82,KFC - Om El Himan -> KFC - Khiran Outlet,KFC - Om El Himan (3) | KFC - Khiran Outlet (4),"[{""store_id"": 11127470, ""store_name"": ""KFC - Om El Himan"", ""latitude"": 28.962943, ""longitude"": 48.161436, ""cluster_id"": 5, ""wave_dt"": ""2026-04-12 01:00:00"", ""allocated_passengers"": 3}, {""store_id"": 11128420, ""store_name"": ""KFC - Khiran Outlet"", ""latitude"": 28.67162738, ""longitude"": 48.34640886, ""cluster_id"": 4, ""wave_dt"": ""2026-04-12 02:00:00"", ""allocated_passengers"": 4}]"
NEW_0007,OUT,OUT,2026-04-12,0,2026-04-12 03:00:00,2026-04-12 03:00,2026-04-12 03:00:00,2026-04-12 03:40:00,2026-04-12 03:00:00,2026-04-12 03:44:02.600933,44.04,8.894,6,20,20,90.91,Wimpy - Abu Halifa -> Hardees - Al Fintas -> KFC - Al Mahboola -> Hardees - Fahd El Ahmed -> KFC - Fahd Al Ahmad -> KFC - Alreqa,Wimpy - Abu Halifa (5) | Hardees - Al Fintas (3) | KFC - Al Mahboola (3) | Hardees - Fahd El Ahmed (1) | KFC - Fahd Al Ahmad (2) | KFC - Alreqa (6),"[{""store_id"": 11118300, ""store_name"": ""Wimpy - Abu Halifa"", ""latitude"": 29.15414054, ""longitude"": 48.12480344, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 5}, {""store_id"": 11147780, ""store_name"": ""Hardees - Al Fintas"", ""latitude"": 29.143241, ""longitude"": 48.129412, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 3}, {""store_id"": 11127780, ""store_name"": ""KFC - Al Mahboola"", ""latitude"": 29.137847, ""longitude"": 48.124191, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 3}, {""store_id"": 11147930, ""store_name"": ""Hardees - Fahd El Ahmed"", ""latitude"": 29.134419, ""longitude"": 48.107682, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11127930, ""store_name"": ""KFC - Fahd Al Ahmad"", ""latitude"": 29.134423, ""longitude"": 48.107656, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11127730, ""store_name"": ""KFC - Alreqa"", ""latitude"": 29.1431, ""longitude"": 48.1019, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 6}]"
NEW_0011,OUT,OUT,2026-04-12,3,2026-04-12 03:00:00,2026-04-12 03:00,2026-04-12 03:00:00,2026-04-12 03:40:00,2026-04-12 03:00:00,2026-04-12 04:21:06.606919,81.11,32.37,6,14,14,63.64,Hardees - Al Qureen 2 -> Tikka - Qurain -> Hardees - Qurain Markets -> Hardees - Al Qureen -> KFC - Adan -> Hardees - Adan,Hardees - Al Qureen 2 (3) | Tikka - Qurain (4) | Hardees - Qurain Markets (1) | Hardees - Al Qureen (2) | KFC - Adan (2) | Hardees - Adan (2),"[{""store_id"": 11147870, ""store_name"": ""Hardees - Al Qureen 2"", ""latitude"": 29.204344, ""longitude"": 48.077731, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 3}, {""store_id"": 11137870, ""store_name"": ""Tikka - Qurain"", ""latitude"": 29.20443, ""longitude"": 48.077741, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 4}, {""store_id"": 11148480, ""store_name"": ""Hardees - Qurain Markets"", ""latitude"": 29.1973848, ""longitude"": 48.04665118, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11147850, ""store_name"": ""Hardees - Al Qureen"", ""latitude"": 29.236563, ""longitude"": 48.064671, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11128020, ""store_name"": ""KFC - Adan"", ""latitude"": 29.235456, ""longitude"": 48.079627, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11148020, ""store_name"": ""Hardees - Adan"", ""latitude"": 29.235634, ""longitude"": 48.079666, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}]"
NEW_0006,OUT,OUT,2026-04-12,3,2026-04-12 03:00:00,2026-04-12 03:00,2026-04-12 03:00:00,2026-04-12 03:40:00,2026-04-12 03:15:00,2026-04-12 04:23:14.236835,68.24,24.217,6,17,17,77.27,KFC - Augiela 2 -> Hardees - Augiela 2 -> KFC Mubarek El-Kaber(Qurain 2) -> KFC - Al Zahr -> Hardees - Al Zahr -> Krispy Kreme - Aswaq Al Qurain,KFC - Augiela 2 (1) | Hardees - Augiela 2 (2) | KFC Mubarek El-Kaber(Qurain 2) (5) | KFC - Al Zahr (6) | Hardees - Al Zahr (2) | Krispy Kreme - Aswaq Al Qurain (1),"[{""store_id"": 11128270, ""store_name"": ""KFC - Augiela 2"", ""latitude"": 29.172702, ""longitude"": 48.095099, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11148270, ""store_name"": ""Hardees - Augiela 2"", ""latitude"": 29.172656, ""longitude"": 48.094883, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11127870, ""store_name"": ""KFC Mubarek El-Kaber(Qurain 2)"", ""latitude"": 29.1886, ""longitude"": 48.0798, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 5}, {""store_id"": 11127770, ""store_name"": ""KFC - Al Zahr"", ""latitude"": 29.168629, ""longitude"": 48.063945, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 6}, {""store_id"": 11147770, ""store_name"": ""Hardees - Al Zahr"", ""latitude"": 29.168466, ""longitude"": 48.063947, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11198740, ""store_name"": ""Krispy Kreme - Aswaq Al Qurain"", ""latitude"": 29.19731427, ""longitude"": 48.05369702, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}]"
NEW_0005,OUT,OUT,2026-04-12,5,2026-04-12 03:00:00,2026-04-12 03:00,2026-04-12 03:00:00,2026-04-12 03:40:00,2026-04-12 03:30:00,2026-04-12 06:39:43.902171,189.73,101.163,6,19,19,86.36,Hardees - Om El Himan -> KFC - Om El Himan -> KFC - Sabah Al Ahmad 2 -> Hardees - Sabah Al Ahmed -> BR - Sabah Al Ahmed Coop -> Krispy Kreme - Sabah Al Ahmed,Hardees - Om El Himan (1) | KFC - Om El Himan (4) | KFC - Sabah Al Ahmad 2 (7) | Hardees - Sabah Al Ahmed (4) | BR - Sabah Al Ahmed Coop (2) | Krispy Kreme - Sabah Al Ahmed (1),"[{""store_id"": 11147470, ""store_name"": ""Hardees - Om El Himan"", ""latitude"": 28.963033, ""longitude"": 48.16152, ""cluster_id"": 5, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11127470, ""store_name"": ""KFC - Om El Himan"", ""latitude"": 28.962943, ""longitude"": 48.161436, ""cluster_id"": 5, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 4}, {""store_id"": 11128370, ""store_name"": ""KFC - Sabah Al Ahmad 2"", ""latitude"": 28.79203867, ""longitude"": 48.05321903, ""cluster_id"": 1, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 7}, {""store_id"": 11148410, ""store_name"": ""Hardees - Sabah Al Ahmed"", ""latitude"": 28.792, ""longitude"": 48.053, ""cluster_id"": 1, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 4}, {""store_id"": 11228110, ""store_name"": ""BR - Sabah Al Ahmed Coop"", ""latitude"": 28.78064934, ""longitude"": 48.04057647, ""cluster_id"": 1, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11198000, ""store_name"": ""Krispy Kreme - Sabah Al Ahmed"", ""latitude"": 28.78067, ""longitude"": 48.04054, ""cluster_id"": 1, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}]"
NEW_0008,OUT,OUT,2026-04-12,3,2026-04-12 03:00:00,2026-04-12 03:00,2026-04-12 03:00:00,2026-04-12 03:40:00,2026-04-12 03:30:00,2026-04-12 04:31:34.359308,61.57,19.996,6,11,11,50.0,Krispy Kreme - Gate Mall -> BR - The Gate Mall -> KFC - Loft Fintas -> KFC - Village -> Hardees - Village -> Krispy Kreme - Divonne,Krispy Kreme - Gate Mall (1) | BR - The Gate Mall (1) | KFC - Loft Fintas (5) | KFC - Village (2) | Hardees - Village (1) | Krispy Kreme - Divonne (1),"[{""store_id"": 11198090, ""store_name"": ""Krispy Kreme - Gate Mall"", ""latitude"": 29.17496742, ""longitude"": 48.09889966, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11228000, ""store_name"": ""BR - The Gate Mall"", ""latitude"": 29.17500489, ""longitude"": 48.09886211, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11128570, ""store_name"": ""KFC - Loft Fintas"", ""latitude"": 29.18125495, ""longitude"": 48.11705636, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 5}, {""store_id"": 11128200, ""store_name"": ""KFC - Village"", ""latitude"": 29.212059, ""longitude"": 48.10428, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11148160, ""store_name"": ""Hardees - Village"", ""latitude"": 29.21224, ""longitude"": 48.104247, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11198770, ""store_name"": ""Krispy Kreme - Divonne"", ""latitude"": 29.21343689, ""longitude"": 48.10417093, ""cluster_id"": 3, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}]"
NEW_0009,OUT,OUT,2026-04-12,0,2026-04-12 03:00:00,2026-04-12 03:00,2026-04-12 03:00:00,2026-04-12 03:40:00,2026-04-12 03:30:00,2026-04-12 04:33:35.141616,63.59,21.271,6,14,14,63.64,Hardees - Al Sbahiya -> KFC - Mangaf 2 -> Krispy Kreme - Fintas Co -> KFC - Al Mangaf -> KFC - Fahaheel -> Krispy Kreme - Fahaheel,Hardees - Al Sbahiya (2) | KFC - Mangaf 2 (5) | Krispy Kreme - Fintas Co (1) | KFC - Al Mangaf (2) | KFC - Fahaheel (3) | Krispy Kreme - Fahaheel (1),"[{""store_id"": 11147740, ""store_name"": ""Hardees - Al Sbahiya"", ""latitude"": 29.109567, ""longitude"": 48.108588, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11128400, ""store_name"": ""KFC - Mangaf 2"", ""latitude"": 29.10458661, ""longitude"": 48.12479592, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 5}, {""store_id"": 11197110, ""store_name"": ""Krispy Kreme - Fintas Co"", ""latitude"": 29.108554, ""longitude"": 48.133594, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}, {""store_id"": 11127960, ""store_name"": ""KFC - Al Mangaf"", ""latitude"": 29.099227, ""longitude"": 48.134147, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 2}, {""store_id"": 11127750, ""store_name"": ""KFC - Fahaheel"", ""latitude"": 29.0782, ""longitude"": 48.1354, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 3}, {""store_id"": 11198750, ""store_name"": ""Krispy Kreme - Fahaheel"", ""latitude"": 29.07812165, ""longitude"": 48.13541496, ""cluster_id"": 0, ""wave_dt"": ""2026-04-12 03:00:00"", ""allocated_passengers"": 1}]"
