store_name,store_name_norm,window_type,window_time,demand
BR - Al Bairak Mall,br - al bairak mall,IN,12:00 PM,14
BR - Al Bairak Mall,br - al bairak mall,OUT,12:00 AM,14
BR - Al Fintas,br - al fintas,IN,08:00 PM,5
BR - Al Fintas,br - al fintas,IN,11:00 AM,7
BR - Al Fintas,br - al fintas,OUT,05:00 AM,5
BR - Al Fintas,br - al fintas,OUT,08:00 PM,7
BR - Aswaq Al Qurain,br - aswaq al qurain,IN,11:00 AM,7
BR - Aswaq Al Qurain,br - aswaq al qurain,OUT,08:00 PM,7
BR - Divonne,br - divonne,IN,08:00 PM,7
BR - Divonne,br - divonne,IN,11:00 AM,1
BR - Divonne,br - divonne,OUT,05:00 AM,7
BR - Divonne,br - divonne,OUT,08:00 PM,1
BR - Fahaheel,br - fahaheel,IN,11:00 AM,7
BR - Fahaheel,br - fahaheel,OUT,08:00 PM,7
BR - Fahd El Ahmed,br - fahd el ahmed,IN,08:00 PM,14
BR - Fahd El Ahmed,br - fahd el ahmed,IN,11:00 AM,7
BR - Fahd El Ahmed,br - fahd el ahmed,OUT,05:00 AM,14
BR - Fahd El Ahmed,br - fahd el ahmed,OUT,08:00 PM,7
BR - Khiran Outlet,br - khiran outlet,IN,07:00 PM,7
BR - Khiran Outlet,br - khiran outlet,IN,10:00 AM,7
BR - Khiran Outlet,br - khiran outlet,OUT,03:00 AM,7
BR - Khiran Outlet,br - khiran outlet,OUT,07:00 PM,7
BR - Kout Mall,br - kout mall,IN,07:00 PM,7
BR - Kout Mall,br - kout mall,IN,10:00 AM,7
BR - Kout Mall,br - kout mall,OUT,03:00 AM,7
BR - Kout Mall,br - kout mall,OUT,10:00 PM,7
BR - Om El Haiman,br - om el haiman,IN,11:00 AM,14
BR - Om El Haiman,br - om el haiman,OUT,08:00 PM,14
BR - Qurain 1,br - qurain 1,IN,11:00 AM,14
BR - Qurain 1,br - qurain 1,OUT,08:00 PM,14
BR - Qurain 2,br - qurain 2,IN,11:00 AM,7
BR - Qurain 2,br - qurain 2,OUT,08:00 PM,7
BR - Qurain 3,br - qurain 3,IN,08:00 PM,23
BR - Qurain 3,br - qurain 3,IN,11:00 AM,14
BR - Qurain 3,br - qurain 3,OUT,05:00 AM,23
BR - Qurain 3,br - qurain 3,OUT,08:00 PM,14
BR - Reqa,br - reqa,IN,08:00 PM,7
BR - Reqa,br - reqa,IN,11:00 AM,7
BR - Reqa,br - reqa,OUT,05:00 AM,7
BR - Reqa,br - reqa,OUT,08:00 PM,7
BR - Sabah Al Ahmed Coop,br - sabah al ahmed coop,IN,07:00 PM,14
BR - Sabah Al Ahmed Coop,br - sabah al ahmed coop,IN,10:00 AM,14
BR - Sabah Al Ahmed Coop,br - sabah al ahmed coop,OUT,03:00 AM,14
BR - Sabah Al Ahmed Coop,br - sabah al ahmed coop,OUT,07:00 PM,14
BR - Sabah Al Salem Block 1,br - sabah al salem block 1,IN,08:00 PM,14
BR - Sabah Al Salem Block 1,br - sabah al salem block 1,IN,11:00 AM,7
BR - Sabah Al Salem Block 1,br - sabah al salem block 1,OUT,05:00 AM,14
BR - Sabah Al Salem Block 1,br - sabah al salem block 1,OUT,08:00 PM,7
BR - The Gate Mall,br - the gate mall,IN,07:00 PM,7
BR - The Gate Mall,br - the gate mall,IN,11:00 AM,7
BR - The Gate Mall,br - the gate mall,OUT,03:00 AM,7
BR - The Gate Mall,br - the gate mall,OUT,08:00 PM,7
Hardees - Adan,hardees - adan,IN,06:00 PM,14
Hardees - Adan,hardees - adan,IN,08:00 PM,12
Hardees - Adan,hardees - adan,IN,09:00 AM,7
Hardees - Adan,hardees - adan,IN,09:00 PM,13
Hardees - Adan,hardees - adan,IN,11:00 AM,14
Hardees - Adan,hardees - adan,IN, ,80
Hardees - Adan,hardees - adan,OUT,03:00 AM,14
Hardees - Adan,hardees - adan,OUT,05:00 AM,12
Hardees - Adan,hardees - adan,OUT,06:00 AM,13
Hardees - Adan,hardees - adan,OUT,06:00 PM,7
Hardees - Adan,hardees - adan,OUT,08:00 PM,7
Hardees - Adan,hardees - adan,OUT,09:00 PM,5
Hardees - Adan,hardees - adan,OUT,11:00 PM,2
Hardees - Adan,hardees - adan,OUT, ,80
Hardees - Al Ahmadi,hardees - al ahmadi,IN,06:00 PM,8
Hardees - Al Ahmadi,hardees - al ahmadi,IN,08:00 PM,20
Hardees - Al Ahmadi,hardees - al ahmadi,IN,09:00 AM,6
Hardees - Al Ahmadi,hardees - al ahmadi,IN,11:00 AM,14
Hardees - Al Ahmadi,hardees - al ahmadi,OUT,03:00 AM,8
Hardees - Al Ahmadi,hardees - al ahmadi,OUT,05:00 AM,20
Hardees - Al Ahmadi,hardees - al ahmadi,OUT,06:00 PM,6
Hardees - Al Ahmadi,hardees - al ahmadi,OUT,08:00 PM,14
Hardees - Al Fahaheel,hardees - al fahaheel,IN,06:00 PM,6
Hardees - Al Fahaheel,hardees - al fahaheel,IN,08:00 PM,12
Hardees - Al Fahaheel,hardees - al fahaheel,IN,09:00 AM,12
Hardees - Al Fahaheel,hardees - al fahaheel,IN,11:00 AM,6
Hardees - Al Fahaheel,hardees - al fahaheel,OUT,03:00 AM,6
Hardees - Al Fahaheel,hardees - al fahaheel,OUT,05:00 AM,12
Hardees - Al Fahaheel,hardees - al fahaheel,OUT,06:00 PM,12
Hardees - Al Fahaheel,hardees - al fahaheel,OUT,08:00 PM,6
Hardees - Al Fintas,hardees - al fintas,IN,06:00 PM,17
Hardees - Al Fintas,hardees - al fintas,IN,08:00 PM,13
Hardees - Al Fintas,hardees - al fintas,IN,09:00 PM,17
Hardees - Al Fintas,hardees - al fintas,IN,11:00 AM,6
Hardees - Al Fintas,hardees - al fintas,OUT,03:00 AM,17
Hardees - Al Fintas,hardees - al fintas,OUT,05:00 AM,13
Hardees - Al Fintas,hardees - al fintas,OUT,06:00 AM,17
Hardees - Al Fintas,hardees - al fintas,OUT,08:00 PM,6
Hardees - Al Mangaf,hardees - al mangaf,IN,08:00 PM,30
Hardees - Al Mangaf,hardees - al mangaf,IN,09:00 AM,13
Hardees - Al Mangaf,hardees - al mangaf,OUT,05:00 AM,30
Hardees - Al Mangaf,hardees - al mangaf,OUT,06:00 PM,13
Hardees - Al Qureen,hardees - al qureen,IN,02:00 PM,8
Hardees - Al Qureen,hardees - al qureen,IN,04:00 PM,5
Hardees - Al Qureen,hardees - al qureen,IN,06:00 PM,18
Hardees - Al Qureen,hardees - al qureen,IN,08:00 PM,26
Hardees - Al Qureen,hardees - al qureen,IN,09:00 AM,37
Hardees - Al Qureen,hardees - al qureen,IN,11:00 AM,3
Hardees - Al Qureen,hardees - al qureen,IN, ,113
Hardees - Al Qureen,hardees - al qureen,OUT,01:00 AM,1
Hardees - Al Qureen,hardees - al qureen,OUT,03:00 AM,20
Hardees - Al Qureen,hardees - al qureen,OUT,04:00 PM,6
Hardees - Al Qureen,hardees - al qureen,OUT,05:00 AM,14
Hardees - Al Qureen,hardees - al qureen,OUT,06:00 AM,8
Hardees - Al Qureen,hardees - al qureen,OUT,06:00 PM,28
Hardees - Al Qureen,hardees - al qureen,OUT,08:00 PM,6
Hardees - Al Qureen,hardees - al qureen,OUT,12:00 AM,11
Hardees - Al Qureen,hardees - al qureen,OUT,12:00: AM,1
Hardees - Al Qureen,hardees - al qureen,OUT,1:00: AM,1
Hardees - Al Qureen,hardees - al qureen,OUT,2:00: AM,1
Hardees - Al Qureen,hardees - al qureen,OUT, ,113
Hardees - Al Qureen 2,hardees - al qureen 2,IN,04:00 PM,10
Hardees - Al Qureen 2,hardees - al qureen 2,IN,06:00 PM,21
Hardees - Al Qureen 2,hardees - al qureen 2,IN,08:00 PM,19
Hardees - Al Qureen 2,hardees - al qureen 2,IN,09:00 AM,21
Hardees - Al Qureen 2,hardees - al qureen 2,IN,09:00 PM,9
Hardees - Al Qureen 2,hardees - al qureen 2,IN,10:00 AM,2
Hardees - Al Qureen 2,hardees - al qureen 2,IN,10:00 PM,2
Hardees - Al Qureen 2,hardees - al qureen 2,IN,12:00 AM,16
Hardees - Al Qureen 2,hardees - al qureen 2,IN,12:00 PM,1
Hardees - Al Qureen 2,hardees - al qureen 2,IN, ,101
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,01:00 AM,12
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,03:00 AM,21
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,04:00 AM,1
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,04:00 PM,1
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,05:00 AM,17
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,06:00 PM,15
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,08:00 PM,5
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,09:00 AM,14
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,09:00 PM,1
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,10:00 AM,9
Hardees - Al Qureen 2,hardees - al qureen 2,OUT,10:00 PM,5
Hardees - Al Qureen 2,hardees - al qureen 2,OUT, ,101
Hardees - Al Sbahiya,hardees - al sbahiya,IN,06:00 PM,14
Hardees - Al Sbahiya,hardees - al sbahiya,IN,08:00 PM,30
Hardees - Al Sbahiya,hardees - al sbahiya,IN,09:00 AM,12
Hardees - Al Sbahiya,hardees - al sbahiya,IN,11:00 AM,12
Hardees - Al Sbahiya,hardees - al sbahiya,IN,12:00 AM,12
Hardees - Al Sbahiya,hardees - al sbahiya,OUT,03:00 AM,14
Hardees - Al Sbahiya,hardees - al sbahiya,OUT,05:00 AM,29
Hardees - Al Sbahiya,hardees - al sbahiya,OUT,06:00 PM,12
Hardees - Al Sbahiya,hardees - al sbahiya,OUT,08:00 PM,12
Hardees - Al Sbahiya,hardees - al sbahiya,OUT,09:00 AM,12
Hardees - Al Sbahiya,hardees - al sbahiya,OUT,5AM,1
Hardees - Al Zahr,hardees - al zahr,IN,06:00 PM,13
Hardees - Al Zahr,hardees - al zahr,IN,08:00 AM,5
Hardees - Al Zahr,hardees - al zahr,IN,08:00 PM,23
Hardees - Al Zahr,hardees - al zahr,IN,09:00 AM,6
Hardees - Al Zahr,hardees - al zahr,IN,11:00 AM,7
Hardees - Al Zahr,hardees - al zahr,OUT,03:00 AM,13
Hardees - Al Zahr,hardees - al zahr,OUT,05:00 AM,23
Hardees - Al Zahr,hardees - al zahr,OUT,05:00 PM,5
Hardees - Al Zahr,hardees - al zahr,OUT,06:00 PM,6
Hardees - Al Zahr,hardees - al zahr,OUT,08:00 PM,7
Hardees - Augiela 2,hardees - augiela 2,IN,06:00 PM,17
Hardees - Augiela 2,hardees - augiela 2,IN,08:00 PM,31
Hardees - Augiela 2,hardees - augiela 2,IN,09:00 AM,12
Hardees - Augiela 2,hardees - augiela 2,IN,11:00 AM,10
Hardees - Augiela 2,hardees - augiela 2,OUT,03:00 AM,17
Hardees - Augiela 2,hardees - augiela 2,OUT,05:00 AM,31
Hardees - Augiela 2,hardees - augiela 2,OUT,06:00 PM,12
Hardees - Augiela 2,hardees - augiela 2,OUT,08:00 PM,10
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,IN,06:00 PM,12
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,IN,08:00 PM,35
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,IN,09:00 AM,6
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,IN,09:00 PM,19
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,IN,11:00 AM,6
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,OUT,03:00 AM,12
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,OUT,05:00 AM,35
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,OUT,06:00 AM,19
