duty_id,bus_id,service_date,rotation_tag,duty_segment,first_trip_start_dt,last_trip_end_dt,trip_count,trip_minutes,avg_occupancy_pct,rescued_trip_count,handover_trip_count,split_reset_trip_count,duty_span_min,overtime_min,over_10h_flag
DUTY_0001,1,2026-04-04,evening,1,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,1,190.42,31.82,0,1,0,190.42000000000002,0.0,False
DUTY_0003,1,2026-04-05,morning,1,2026-04-05 04:00:00.000000,2026-04-05 04:11:20.400000,1,11.34,9.09,0,0,0,11.34,0.0,False
DUTY_0007,2,2026-04-05,morning,1,2026-04-05 04:15:00.000000,2026-04-05 09:16:45.000000,1,301.75,86.36,0,0,0,301.75,0.0,False
DUTY_0010,3,2026-04-05,morning,1,2026-04-05 04:30:00.000000,2026-04-05 06:19:19.200000,1,109.32,59.09,0,0,0,109.32,0.0,False
DUTY_0014,4,2026-04-05,morning,1,2026-04-05 04:45:00.000000,2026-04-05 09:43:37.800000,1,298.63,90.91,0,0,0,298.63,0.0,False
DUTY_0017,5,2026-04-05,morning,1,2026-04-05 06:30:00.000000,2026-04-05 09:03:55.800000,1,153.93,100.0,0,0,0,153.92999999999998,0.0,False
DUTY_0019,6,2026-04-05,morning,1,2026-04-05 06:45:00.000000,2026-04-05 09:18:32.400000,1,153.54,100.0,0,0,0,153.54,0.0,False
DUTY_0022,7,2026-04-05,morning,1,2026-04-05 07:00:00.000000,2026-04-05 07:52:17.400000,1,52.29,81.82,0,0,0,52.29,0.0,False
DUTY_0024,8,2026-04-05,morning,1,2026-04-05 08:00:00.000000,2026-04-05 11:21:27.600000,2,146.08,72.725,0,0,0,201.46,0.0,False
DUTY_0026,9,2026-04-05,morning,1,2026-04-05 09:00:00.000000,2026-04-05 11:38:49.200000,1,158.82,18.18,0,0,0,158.82000000000002,0.0,False
DUTY_0028,10,2026-04-05,morning,1,2026-04-05 09:15:00.000000,2026-04-05 13:14:20.400000,2,169.96,61.365,0,0,0,239.34,0.0,False
DUTY_0030,11,2026-04-05,morning,1,2026-04-05 09:30:00.000000,2026-04-05 11:20:04.200000,1,110.07,100.0,0,0,0,110.07,0.0,False
DUTY_0032,12,2026-04-05,morning,1,2026-04-05 09:30:00.000000,2026-04-05 11:29:13.200000,1,119.22,90.91,0,0,0,119.22,0.0,False
DUTY_0034,13,2026-04-05,morning,1,2026-04-05 09:30:00.000000,2026-04-05 11:18:35.400000,1,108.59,95.45,0,0,0,108.58999999999999,0.0,False
DUTY_0004,1,2026-04-05,morning,2,2026-04-05 12:30:00.000000,2026-04-05 14:20:34.800000,1,110.58,54.55,0,0,1,110.58,0.0,False
DUTY_0008,2,2026-04-05,morning,2,2026-04-05 13:15:00.000000,2026-04-05 21:20:44.400000,2,327.35,95.45,0,0,1,485.74,0.0,False
DUTY_0011,3,2026-04-05,morning,2,2026-04-05 13:15:00.000000,2026-04-05 17:33:19.800000,1,258.33,95.45,0,0,1,258.33,0.0,False
DUTY_0002,1,2026-04-05,evening,1,2026-04-05 14:30:00.000000,2026-04-05 19:12:54.600000,1,282.91,100.0,0,1,0,282.90999999999997,0.0,False
DUTY_0012,4,2026-04-05,evening,1,2026-04-05 14:45:00.000000,2026-04-05 20:29:31.200000,2,168.29,79.545,0,2,0,344.52000000000004,0.0,False
DUTY_0016,5,2026-04-05,evening,1,2026-04-05 15:00:00.000000,2026-04-05 22:03:44.400000,3,320.23,84.85,0,3,0,423.74,0.0,False
DUTY_0018,6,2026-04-05,evening,1,2026-04-05 16:00:00.000000,2026-04-05 20:00:06.000000,2,152.35,72.725,0,2,0,240.1,0.0,False
DUTY_0021,7,2026-04-05,evening,1,2026-04-05 16:15:00.000000,2026-04-05 21:43:29.400000,2,298.49,72.72999999999999,0,2,0,328.49,0.0,False
DUTY_0023,8,2026-04-05,evening,1,2026-04-05 16:45:00.000000,2026-04-05 21:22:06.000000,1,277.1,90.91,0,1,0,277.1,0.0,False
DUTY_0025,9,2026-04-05,evening,1,2026-04-05 17:00:00.000000,2026-04-05 21:01:46.200000,2,198.32,86.36,0,2,0,241.77,0.0,False
DUTY_0006,2,2026-04-05,evening,1,2026-04-05 18:00:00.000000,2026-04-05 23:39:31.800000,2,168.79,72.725,0,2,0,339.53,0.0,False
DUTY_0009,3,2026-04-05,evening,1,2026-04-05 18:00:00.000000,2026-04-05 22:52:16.800000,1,292.28,95.45,0,1,0,292.28,0.0,False
DUTY_0027,10,2026-04-05,evening,1,2026-04-05 18:00:00.000000,2026-04-05 21:40:30.600000,1,220.51,90.91,0,1,0,220.51000000000002,0.0,False
DUTY_0029,11,2026-04-05,evening,1,2026-04-05 18:00:00.000000,2026-04-05 21:28:30.600000,2,178.51,88.63499999999999,0,2,0,208.51000000000002,0.0,False
DUTY_0031,12,2026-04-05,evening,1,2026-04-05 18:00:00.000000,2026-04-06 01:19:58.800000,2,409.98,72.72999999999999,0,2,0,439.97999999999996,0.0,False
DUTY_0033,13,2026-04-05,evening,1,2026-04-05 18:00:00.000000,2026-04-05 21:44:45.600000,4,149.79,55.6825,1,4,0,224.76000000000002,0.0,False
DUTY_0005,1,2026-04-05,morning,3,2026-04-05 19:25:35.897914,2026-04-06 00:29:59.897914,1,304.4,45.45,1,0,1,304.4,0.0,False
DUTY_0020,6,2026-04-05,morning,2,2026-04-05 20:15:00.000000,2026-04-05 21:20:07.200000,1,65.12,100.0,0,0,1,65.11999999999999,0.0,False
DUTY_0015,4,2026-04-05,morning,2,2026-04-05 20:30:00.000000,2026-04-05 21:33:24.600000,1,63.41,72.73,0,0,1,63.41,0.0,False
DUTY_0013,4,2026-04-05,evening,2,2026-04-05 23:30:00.000000,2026-04-06 00:41:13.800000,1,71.23,77.27,0,1,1,71.23,0.0,False
DUTY_0036,1,2026-04-06,morning,1,2026-04-06 00:30:00.000000,2026-04-06 07:07:19.200000,2,191.48,95.45,0,0,0,397.32,0.0,False
DUTY_0041,2,2026-04-06,morning,1,2026-04-06 00:30:00.000000,2026-04-06 06:18:36.600000,2,71.91,50.0,0,0,0,348.60999999999996,0.0,False
DUTY_0045,3,2026-04-06,morning,1,2026-04-06 01:30:00.000000,2026-04-06 07:59:37.800000,3,230.85,65.15333333333332,0,0,0,389.63,0.0,False
