employee_code,employee_event_dt,employee_direction,service_date,trip_id,trip_type,bus_id,rotation_tag,duty_segment,store_id,store_name,trip_wave_dt,planned_start_dt,planned_end_dt,mapping_status
11027460,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11147740,Hardees - Al Sbahiya,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11024992,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11147870,Hardees - Al Qureen 2,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11027094,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11147870,Hardees - Al Qureen 2,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11029315,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11147870,Hardees - Al Qureen 2,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11027176,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11148410,Hardees - Sabah Al Ahmed,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11028950,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11148410,Hardees - Sabah Al Ahmed,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11030035,2026-04-05 00:00:00,IN,2026-04-04,ORT_0001,IN,1,evening,1,11148410,Hardees - Sabah Al Ahmed,2026-04-05 00:00:00,2026-04-04 21:00:00.000000,2026-04-05 00:10:25.200000,exact_wave
11028162,2026-04-05 04:00:00,IN,2026-04-05,ORT_0002,IN,1,morning,1,11127930,KFC - Fahd Al Ahmad,2026-04-05 04:00:00,2026-04-05 04:00:00.000000,2026-04-05 04:11:20.400000,exact_wave
11029285,2026-04-05 04:00:00,IN,2026-04-05,ORT_0002,IN,1,morning,1,11127930,KFC - Fahd Al Ahmad,2026-04-05 04:00:00,2026-04-05 04:00:00.000000,2026-04-05 04:11:20.400000,exact_wave
11026371,2026-04-05 14:00:00,IN,2026-04-05,ORT_0016,IN,1,morning,2,11118400,Wimpy - Divonne Complex,2026-04-05 14:00:00,2026-04-05 12:30:00.000000,2026-04-05 14:20:34.800000,exact_wave
11029374,2026-04-05 14:00:00,IN,2026-04-05,ORT_0016,IN,1,morning,2,11127770,KFC - Al Zahr,2026-04-05 14:00:00,2026-04-05 12:30:00.000000,2026-04-05 14:20:34.800000,exact_wave
11023831,2026-04-05 14:00:00,IN,2026-04-05,ORT_0016,IN,1,morning,2,11128020,KFC - Adan,2026-04-05 14:00:00,2026-04-05 12:30:00.000000,2026-04-05 14:20:34.800000,exact_wave
11028605,2026-04-05 14:00:00,IN,2026-04-05,ORT_0016,IN,1,morning,2,11147850,Hardees - Al Qureen,2026-04-05 14:00:00,2026-04-05 12:30:00.000000,2026-04-05 14:20:34.800000,exact_wave
