run_id,scheduled_trip_count,unscheduled_trip_count,assigned_passengers,unscheduled_passengers,mixed_trip_count,total_overtime_min
0,464,7,8515,135,72,59.18
1,462,11,8428,222,71,37.13
2,446,23,8243,407,72,144.6
3,463,8,8498,152,71,125.69
4,464,7,8515,135,72,59.18
5,462,11,8428,222,71,37.13
6,446,23,8243,407,72,144.6
7,463,8,8498,152,71,87.25
8,464,7,8515,135,72,97.62
9,462,11,8428,222,71,37.13
10,446,23,8243,407,72,144.6
11,463,8,8498,152,71,85.22
12,464,7,8515,135,72,131.41
13,462,11,8428,222,71,37.13
14,446,23,8243,407,72,144.6
15,463,8,8498,152,71,87.25
16,464,7,8515,135,72,131.41
17,462,11,8428,222,71,37.13
18,446,23,8243,407,72,144.6
19,463,8,8498,152,71,85.22
20,464,7,8515,135,72,92.97
21,462,11,8428,222,71,37.13
22,446,23,8243,407,72,144.6
23,463,8,8498,152,71,51.43
