normalized_store_name,geo_store_name,geo_store_id,shift_store_names,shift_ids,strict_match
mahboula complex mix,Mahboula Complex - Mix,2,,,False
hardees khairan,Hardees - Khairan,11148140,['Hardees - Khairan'],[11148140],True
br khiran outlet,BR - Khiran Outlet,11228040,['BR - Khiran Outlet'],[11228040],True
kfc khiran outlet,KFC - Khiran Outlet,11128420,['KFC - Khiran Outlet'],[11128420],True
krispy kreme khiran hybrid o,Krispy Kreme - Khiran Hybrid O,11198790,['Krispy Kreme - Khiran Hybrid O'],[11198790],True
hardees khiran hybrid outlet,Hardees - Khiran Hybrid Outlet,11148460,['Hardees - Khiran Hybrid Outlet'],[11148460],True
krispy kreme khiran square m,Krispy Kreme - Khiran Square M,11198760,['Krispy Kreme - Khiran Square M'],[11198760],True
br sabah al ahmed coop,BR - Sabah Al Ahmed Coop,11228110,['BR - Sabah Al Ahmed Coop'],[11228110],True
hardees sabah al ahmed,Hardees - Sabah Al Ahmed,11148410,['Hardees - Sabah Al Ahmed'],[11148410],True
kfc sabah al ahmad 2,KFC - Sabah Al Ahmad 2,11128370,['KFC - Sabah Al Ahmad 2'],[11128370],True
br camp arifjan 2,BR - Camp Arifjan 2,11227890,['BR - Camp Arifjan 2'],[11227890],True
kfc arifjan camp,KFC - Arifjan Camp,11127880,['KFC - Arifjan Camp'],[11127880],True
br camp arifjan 1,BR - Camp Arifjan 1,11227880,['BR - Camp Arifjan 1'],[11227880],True
hardees arifjan camp,Hardees - Arifjan Camp,11147860,,,False
kfc om el himan,KFC - Om El Himan,11127470,['KFC - Om El Himan'],[11127470],True
br om el haiman,BR - Om El Haiman,11227470,['BR - Om El Haiman'],[11227470],True
hardees om el himan,Hardees - Om El Himan,11147470,['Hardees - Om El Himan'],[11147470],True
krispy kreme kout mall,Krispy Kreme - Kout Mall,11198830,['Krispy Kreme - Kout Mall'],[11198830],True
br kout mall,BR - Kout Mall,11228180,['BR - Kout Mall'],[11228180],True
kfc al kout mall,KFC - Al Kout Mall,11128220,['KFC - Al Kout Mall'],[11128220],True
krispy kreme fahaheel,Krispy Kreme - Fahaheel,11198750,['Krispy Kreme - Fahaheel'],[11198750],True
hardees al fahaheel,Hardees - Al Fahaheel,11147750,['Hardees - Al Fahaheel'],[11147750],True
br fahaheel,BR - Fahaheel,11227750,['BR - Fahaheel'],[11227750],True
kfc fahaheel,KFC - Fahaheel,11127750,['KFC - Fahaheel'],[11127750],True
tgif al kout mall,TGIF - Al Kout Mall,11188220,['TGIF - Al Kout Mall'],[11188220],True
hardees al ahmadi,Hardees - Al Ahmadi,11147460,['Hardees - Al Ahmadi'],[11147460],True
kfc al ahmadi,KFC - Al Ahmadi,11127460,['KFC - Al Ahmadi'],[11127460],True
hardees al mangaf,Hardees - Al Mangaf,11147960,['Hardees - Al Mangaf'],[11147960],True
kfc al mangaf,KFC - Al Mangaf,11127960,['KFC - Al Mangaf'],[11127960],True
krispy kreme mangaf sultan centr,Krispy Kreme Mangaf Sultan Centr,11198700,,,False
kfc mangaf 2,KFC - Mangaf 2,11128400,['KFC - Mangaf 2'],[11128400],True
hardees al sbahiya,Hardees - Al Sbahiya,11147740,['Hardees - Al Sbahiya'],[11147740],True
kfc abo helifa,KFC - Abo Helifa,11127760,['KFC - Abo Helifa'],[11127760],True
hardees fahd el ahmed,Hardees - Fahd El Ahmed,11147930,['Hardees - Fahd El Ahmed'],[11147930],True
kfc fahd al ahmad,KFC - Fahd Al Ahmad,11127930,['KFC - Fahd Al Ahmad'],[11127930],True
br qurain 2,BR - Qurain 2,11227860,['BR - Qurain 2'],[11227860],True
br fahd el ahmed,BR - Fahd El Ahmed,11227930,['BR - Fahd El Ahmed'],[11227930],True
kfc al mahboola,KFC - Al Mahboola,11127780,['KFC - Al Mahboola'],[11127780],True
kfc alreqa,KFC - Alreqa,11127730,['KFC - Alreqa'],[11127730],True
hardees al fintas,Hardees - Al Fintas,11147780,['Hardees - Al Fintas'],[11147780],True
br reqa,BR - Reqa,11227730,['BR - Reqa'],[11227730],True
krispy kreme alyia ghalyia tower,Krispy Kreme Alyia Ghalyia Tower,11197790,,,False
tgif abu halifa,TGIF - Abu Halifa,11187760,['TGIF - Abu Halifa'],[11187760],True
wimpy abu halifa,Wimpy - Abu Halifa,11118300,['Wimpy - Abu Halifa'],[11118300],True
hardees al zahr,Hardees - Al Zahr,11147770,['Hardees - Al Zahr'],[11147770],True
kfc al zahr,KFC - Al Zahr,11127770,['KFC - Al Zahr'],[11127770],True
br al fintas,BR - Al Fintas,11227780,['BR - Al Fintas'],[11227780],True
hardees augiela 2,Hardees - Augiela 2,11148270,['Hardees - Augiela 2'],[11148270],True
kfc augiela 2,KFC - Augiela 2,11128270,['KFC - Augiela 2'],[11128270],True
kfc al bairak mall,KFC - Al Bairak Mall,11127230,['KFC - Al Bairak Mall'],[11127230],True
br al bairak mall,BR - Al Bairak Mall,11227230,['BR - Al Bairak Mall'],[11227230],True
tgif gate mall,TGIF - Gate Mall,11188090,['TGIF - Gate Mall'],"[11188090, 11188220]",False
krispy kreme gate mall,Krispy Kreme - Gate Mall,11198090,['Krispy Kreme - Gate Mall'],[11198090],True
br the gate mall,BR - The Gate Mall,11228000,['BR - The Gate Mall'],[11228000],True
kfc loft fintas,KFC - Loft Fintas,11128570,['KFC - Loft Fintas'],[11128570],True
kfc mubarek el kaber qurain 2,KFC Mubarek El-Kaber(Qurain 2),11127870,['KFC Mubarek El-Kaber(Qurain 2)'],[11127870],True
br aswaq al qurain,BR - Aswaq Al Qurain,11228260,['BR - Aswaq Al Qurain'],[11228260],True
