bus_id,trip_id,trip_type,shift_time,trip_start_time,trip_end_time,scheduled_trip_minutes,scheduled_deadhead_minutes,mission_passengers,original_stop_count,matched_stop_count,unmatched_stop_count,routeable_trip,fully_matched_trip,routed_store_sequence,route_distance_km,estimated_route_minutes,start_min,end_min
1,MIX_3,MIXED,12:00 AM,12:00 AM,02:15 AM,136.0,0.0,17.0,7,7,0,True,True,Hardees - Sabah Al Ahmed -> KFC - S Al Salem -> TGIF - The Lake Mall -> Hardees - Al Qureen 2 -> Hardees - Al Sbahiya -> KFC - Alreqa -> TGIF - Abu Halifa,76.141,130.53,0,135
2,MIX_22,MIXED,12:30 AM,12:00 AM,12:22 AM,22.0,0.0,4.0,3,3,0,True,True,Wimpy - Divonne Complex -> KFC - Village -> TGIF - Abu Halifa,6.96,11.93,0,22
2,84,OUTBOUND,01:00 AM,01:00 AM,01:25 AM,26.0,22.0,11.0,3,3,0,True,True,KFC - Om El Himan -> KFC - Al Kout Mall -> TGIF - Al Kout Mall,13.108,22.47,60,85
3,85,OUTBOUND,01:00 AM,01:00 AM,01:21 AM,22.0,14.0,12.0,4,4,0,True,True,Hardees - Sabah Al Salem -> KFC - S Al Salem -> TGIF - The Lake Mall -> TGIF - Gate Mall,11.368,19.49,60,81
4,86,OUTBOUND,01:00 AM,01:00 AM,01:19 AM,20.0,9.0,4.0,4,4,0,True,True,Hardees - Al Ahmadi -> KFC - Al Mangaf -> KFC - Fahd Al Ahmad -> Hardees - Fahd El Ahmed,11.543,19.79,60,79
5,87,OUTBOUND,01:00 AM,01:00 AM,01:12 AM,12.0,6.0,9.0,3,3,0,True,True,Hardees - Al Zahr -> KFC - Al Bairak Mall -> TGIF - Abu Halifa,6.761,11.59,60,72
6,88,OUTBOUND,01:30 AM,01:30 AM,02:11 AM,42.0,42.0,3.0,1,1,0,True,True,KFC - Sabah Al Ahmad 2,0.0,0.0,90,131
7,89,OUTBOUND,01:30 AM,01:30 AM,01:53 AM,24.0,14.0,6.0,4,4,0,True,True,Hardees - Sabah Al Salem -> KFC - S Al Salem -> Hardees - Al Qureen 2 -> Hardees - Village,9.442,16.19,90,113
8,90,OUTBOUND,01:30 AM,01:30 AM,01:38 AM,8.0,8.0,4.0,1,1,0,True,True,TGIF - The Lake Mall,0.0,0.0,90,98
2,91,OUTBOUND,02:00 AM,02:00 AM,02:01 AM,2.0,2.0,1.0,1,1,0,True,True,KFC - Alreqa,0.0,0.0,120,121
4,92,OUTBOUND,02:30 AM,02:30 AM,03:38 AM,68.0,60.0,9.0,5,5,0,True,True,BR - Khiran Outlet -> KFC - Khiran Outlet -> Krispy Kreme - Khiran Hybrid O -> Hardees - Khiran Hybrid Outlet -> Krispy Kreme - Khiran Square M,1.632,2.8,150,218
3,93,OUTBOUND,02:30 AM,02:30 AM,03:13 AM,44.0,42.0,3.0,2,2,0,True,True,Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2,0.022,0.04,150,193
2,94,OUTBOUND,02:30 AM,02:30 AM,02:47 AM,18.0,8.0,10.0,5,5,0,True,True,Krispy Kreme - Divonne -> Hardees - Village -> KFC - Village -> KFC - Loft Fintas -> Hardees - Al Fintas,8.19,14.04,150,167
5,95,OUTBOUND,02:30 AM,02:30 AM,02:47 AM,17.0,6.0,14.0,5,5,0,True,True,KFC - Al Mangaf -> KFC - Abo Helifa -> KFC - Fahd Al Ahmad -> Hardees - Fahd El Ahmed -> KFC - Alreqa,7.383,12.66,150,167
8,96,OUTBOUND,03:00 AM,03:00 AM,03:59 AM,60.0,60.0,1.0,1,1,0,True,True,Krispy Kreme - Khiran Hybrid O,0.0,0.0,180,239
7,97,OUTBOUND,03:00 AM,03:00 AM,03:51 AM,52.0,52.0,3.0,1,1,0,True,True,Tikka - Fahaheel DK,0.0,0.0,180,231
9,98,OUTBOUND,03:00 AM,03:00 AM,03:45 AM,45.0,43.0,3.0,2,2,0,True,True,BR - Sabah Al Ahmed Coop -> KFC - Sabah Al Ahmad 2,1.767,3.03,180,225
1,99,OUTBOUND,03:00 AM,03:00 AM,03:27 AM,28.0,22.0,11.0,4,4,0,True,True,KFC - Om El Himan -> Hardees - Om El Himan -> BR - Kout Mall -> Krispy Kreme - Fahaheel,13.296,22.79,180,207
