trip_id,cluster_id,window_type,window_time,store_sequence,store_count,passenger_count,capacity,route_distance_km,trip_duration_min,trip_start_time,trip_end_time,occupancy
IN_0100PM_C1_T1,1,IN,01:00 PM,TGIF - Al Kout Mall | TGIF - The Lake Mall | Hardees - Khiran Hybrid Outlet,3,25,25,145.63,233,09:07 AM,01:00 PM,1.0
IN_0200PM_C2_T1,2,IN,02:00 PM,Wimpy - Divonne Complex | TGIF - The Lake Mall,2,25,25,15.72,33,01:27 PM,02:00 PM,1.0
IN_0200PM_C2_T2,2,IN,02:00 PM,TGIF - The Lake Mall,1,6,25,15.72,28,01:32 PM,02:00 PM,0.24
IN_0200PM_C3_T1,3,IN,02:00 PM,KFC - Adan | Hardees - Al Qureen,2,15,25,23.32,44,01:16 PM,02:00 PM,0.6
IN_0200PM_C4_T1,4,IN,02:00 PM,TGIF - Al Kout Mall,1,25,25,15.56,28,01:32 PM,02:00 PM,1.0
IN_0200PM_C4_T2,4,IN,02:00 PM,TGIF - Al Kout Mall,1,9,25,15.56,28,01:32 PM,02:00 PM,0.36
IN_0200PM_C5_T1,5,IN,02:00 PM,TGIF - Abu Halifa | TGIF - Gate Mall,2,25,25,8.32,22,01:38 PM,02:00 PM,1.0
IN_0200PM_C5_T2,5,IN,02:00 PM,TGIF - Gate Mall,1,25,25,7.48,16,01:44 PM,02:00 PM,1.0
IN_0200PM_C5_T3,5,IN,02:00 PM,TGIF - Gate Mall | KFC - Al Zahr,2,22,25,12.87,29,01:31 PM,02:00 PM,0.88
IN_0400AM_C6_T1,6,IN,04:00 AM,KFC - Fahd Al Ahmad,1,14,25,3.4,10,03:50 AM,04:00 AM,0.56
IN_0400PM_C7_T1,7,IN,04:00 PM,KFC - Village | TGIF - The Lake Mall,2,25,25,15.72,33,03:27 PM,04:00 PM,1.0
IN_0400PM_C7_T2,7,IN,04:00 PM,TGIF - The Lake Mall,1,23,25,15.72,28,03:32 PM,04:00 PM,0.92
IN_0400PM_C8_T1,8,IN,04:00 PM,Hardees - Al Qureen 2 | KFC - Qureen,2,17,25,17.61,36,03:24 PM,04:00 PM,0.68
IN_0400PM_C9_T1,9,IN,04:00 PM,Hardees - Al Qureen | Hardees - Sabah Al Salem | Hardees - Sabah Al Salem Block,3,19,25,30.41,60,03:00 PM,04:00 PM,0.76
IN_0400PM_C10_T1,10,IN,04:00 PM,TGIF - Abu Halifa | KFC - Alreqa,2,25,25,5.23,17,03:43 PM,04:00 PM,1.0
IN_0400PM_C10_T2,10,IN,04:00 PM,KFC - Alreqa | KFC - Augiela 2 | TGIF - Gate Mall,3,25,25,9.05,28,03:32 PM,04:00 PM,1.0
IN_0400PM_C10_T3,10,IN,04:00 PM,TGIF - Gate Mall | KFC - Mangaf 2,2,25,25,16.69,35,03:25 PM,04:00 PM,1.0
IN_0400PM_C10_T4,10,IN,04:00 PM,KFC - Mangaf 2,1,3,25,9.42,19,03:41 PM,04:00 PM,0.12
IN_0400PM_C11_T1,11,IN,04:00 PM,TGIF - Al Kout Mall | KFC - Al Kout Mall,2,25,25,15.78,33,03:27 PM,04:00 PM,1.0
IN_0400PM_C11_T2,11,IN,04:00 PM,KFC - Al Kout Mall | KFC - Om El Himan,2,25,25,41.7,72,02:48 PM,04:00 PM,1.0
IN_0400PM_C11_T3,11,IN,04:00 PM,KFC - Om El Himan,1,1,25,41.68,67,02:53 PM,04:00 PM,0.04
IN_0500PM_C12_T1,12,IN,05:00 PM,KFC - Alreqa,1,25,25,3.28,9,04:51 PM,05:00 PM,1.0
IN_0500PM_C12_T2,12,IN,05:00 PM,KFC - Alreqa,1,17,25,3.28,9,04:51 PM,05:00 PM,0.68
IN_0500PM_C13_T1,13,IN,05:00 PM,KFC - Khiran Outlet,1,25,25,114.57,176,02:04 PM,05:00 PM,1.0
IN_0500PM_C13_T2,13,IN,05:00 PM,KFC - Khiran Outlet,1,3,25,114.57,176,02:04 PM,05:00 PM,0.12
IN_0600AM_C14_T1,14,IN,06:00 AM,KFC - Fahd Al Ahmad,1,14,25,3.4,10,05:50 AM,06:00 AM,0.56
IN_0600PM_C15_T1,15,IN,06:00 PM,Tikka - Fahaheel DK,1,12,25,99.14,153,03:27 PM,06:00 PM,0.48
IN_0600PM_C16_T1,16,IN,06:00 PM,Wimpy - Abu Halifa,1,25,25,2.1,8,05:52 PM,06:00 PM,1.0
IN_0600PM_C16_T2,16,IN,06:00 PM,Wimpy - Abu Halifa | KFC - Al Mahboola,2,25,25,3.99,15,05:45 PM,06:00 PM,1.0
IN_0600PM_C16_T3,16,IN,06:00 PM,KFC - Al Mahboola | Hardees - Al Fintas | Hardees - Fahd El Ahmed,3,25,25,5.93,23,05:37 PM,06:00 PM,1.0
IN_0600PM_C16_T4,16,IN,06:00 PM,Hardees - Fahd El Ahmed | KFC - Abo Helifa,2,25,25,6.06,19,05:41 PM,06:00 PM,1.0
IN_0600PM_C16_T5,16,IN,06:00 PM,KFC - Abo Helifa | Hardees - Al Sbahiya | KFC - Mangaf 2,3,25,25,11.9,32,05:28 PM,06:00 PM,1.0
IN_0600PM_C16_T6,16,IN,06:00 PM,KFC - Mangaf 2,1,25,25,9.42,19,05:41 PM,06:00 PM,1.0
IN_0600PM_C16_T7,16,IN,06:00 PM,KFC - Mangaf 2 | KFC - Al Mangaf | KFC - Fahaheel,3,25,25,15.91,38,05:22 PM,06:00 PM,1.0
IN_0600PM_C16_T8,16,IN,06:00 PM,KFC - Fahaheel | Krispy Kreme - Fahaheel,2,25,25,15.57,33,05:27 PM,06:00 PM,1.0
IN_0600PM_C16_T9,16,IN,06:00 PM,Hardees - Al Fahaheel | KFC - Al Ahmadi | Hardees - Al Ahmadi,3,25,25,23.35,50,05:10 PM,06:00 PM,1.0
IN_0600PM_C16_T10,16,IN,06:00 PM,Hardees - Al Ahmadi,1,3,25,17.77,31,05:29 PM,06:00 PM,0.12
IN_0600PM_C17_T1,17,IN,06:00 PM,Hardees - Om El Himan | KFC - Om El Himan,2,25,25,41.69,72,04:48 PM,06:00 PM,1.0
IN_0600PM_C17_T2,17,IN,06:00 PM,KFC - Om El Himan,1,14,25,41.68,67,04:53 PM,06:00 PM,0.56
IN_0600PM_C18_T1,18,IN,06:00 PM,Krispy Kreme - Gate Mall | KFC - Augiela 2 | Hardees - Augiela 2,3,25,25,7.84,26,05:34 PM,06:00 PM,1.0
IN_0600PM_C18_T2,18,IN,06:00 PM,Hardees - Augiela 2 | KFC - Loft Fintas,2,25,25,9.91,24,05:36 PM,06:00 PM,1.0
IN_0600PM_C18_T3,18,IN,06:00 PM,KFC - Loft Fintas | Hardees - Al Zahr,2,25,25,15.03,32,05:28 PM,06:00 PM,1.0
